SEXO,NIVEL_ACADEMICO,DPTO_INSTITUCION,ORDEN,SECTOR_ADMTIVO,NATURALEZA_JURIDICA,CLASIFICACION_ORGANICA,NIVEL_JERARQUICO_EMPLEO,TIPO_NOMBRAMIENTO,ASIG_BASICA,FECHA_VINCULACION
FEMENINO,PREGRADO,SANTANDER,NACIONAL,AMBIENTE Y DESARROLLO SOSTENIBLE,ÓRGANO AUTÓNOMO,ÓRGANO AUTÓNOMO,PROFESIONAL,LIBRE NOMBRAMIENTO Y REMOCIÓN,3788145.0,2009-01-16
FEMENINO,PREGRADO,CESAR,TERRITORIAL,NO APLICA,GOBERNACIÓN,RAMA EJECUTIVA,PROFESIONAL,LIBRE NOMBRAMIENTO Y REMOCIÓN,3981617.0,1995-06-05
FEMENINO,PREGRADO,SANTANDER,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,PROFESIONAL,LIBRE NOMBRAMIENTO Y REMOCIÓN,2132680.0,2020-01-02
FEMENINO,POSTGRADO,BOGOTÁ. D.C.,NACIONAL,PRESIDENCIA DE LA REPÚBLICA,DEPARTAMENTO ADMINISTRATIVO,RAMA EJECUTIVA,PROFESIONAL,LIBRE NOMBRAMIENTO Y REMOCIÓN,2440554.0,2013-01-11
FEMENINO,POSTGRADO,SANTANDER,TERRITORIAL,NO APLICA,ESTABLECIMIENTO PÚBLICO,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,12395729.0,2022-09-01
FEMENINO,POSTGRADO,SANTANDER,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,5200000.0,2020-02-12
FEMENINO,POSTGRADO,SANTANDER,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,5200000.0,2020-02-04
FEMENINO,PREGRADO,SANTANDER,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,1839259.0,2020-03-16
FEMENINO,PREGRADO,SANTANDER,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,2408120.0,2013-01-08
FEMENINO,SIN INFORMACION,SANTANDER,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,2408111.0,2017-04-20
FEMENINO,PREGRADO,SANTANDER,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,3638462.0,2021-04-06
FEMENINO,POSTGRADO,SANTANDER,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,DIRECTIVO,PERIODO FIJO,1923120.0,2022-01-01
FEMENINO,POSTGRADO,SANTANDER,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,2832350.0,2022-04-25
FEMENINO,BASICA SECUNDARIA,SANTANDER,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,1874777.0,1998-04-01
MASCULINO,BASICA PRIMARIA,BOGOTÁ. D.C.,TERRITORIAL,NO APLICA,PERSONERÍA DISTRITAL,ORGANISMO DE CONTROL Y VIGILANCIA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,8175282.0,2016-10-19
FEMENINO,POSTGRADO,BOGOTÁ. D.C.,NACIONAL,PRESIDENCIA DE LA REPÚBLICA,AGENCIA ESTATAL DE NATURALEZA ESPECIAL,RAMA EJECUTIVA,ASESOR,LIBRE NOMBRAMIENTO Y REMOCIÓN,8126219.0,2017-01-24
FEMENINO,POSTGRADO,BOGOTÁ. D.C.,NACIONAL,TRABAJO,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,RAMA EJECUTIVA,DIRECTIVO,CONTRATO LABORAL,9410819.0,2011-08-22
FEMENINO,POSTGRADO,BOGOTÁ. D.C.,NACIONAL,TRANSPORTE,UNIDAD ADMINISTRATIVA ESPECIAL CON PERSONERÍA JURÍDICA,RAMA EJECUTIVA,DIRECTIVO,ESCALAFONADO EN CARRERA,6957018.0,1993-10-12
FEMENINO,POSTGRADO,SANTANDER,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,2455458.0,1994-04-17
FEMENINO,POSTGRADO,SANTANDER,TERRITORIAL,NO APLICA,EMPRESA DE SERVICIOS PÚBLICOS DOMICILIARIOS OFICIAL,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,1377200.0,2016-01-01
FEMENINO,POSTGRADO,SANTANDER,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,2408111.0,2016-01-01
FEMENINO,POSTGRADO,SANTANDER,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,PROFESIONAL,LIBRE NOMBRAMIENTO Y REMOCIÓN,2258018.0,2016-02-08
FEMENINO,POSTGRADO,SANTANDER,TERRITORIAL,NO APLICA,EMPRESA SOCIAL DEL ESTADO,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,6450900.0,2021-01-02
FEMENINO,POSTGRADO,BOGOTÁ. D.C.,NACIONAL,JUSTICIA Y DEL DERECHO,ESTABLECIMIENTO PÚBLICO,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,3148124.0,2010-01-29
FEMENINO,POSTGRADO,SANTANDER,TERRITORIAL,NO APLICA,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,RAMA EJECUTIVA,ASESOR,LIBRE NOMBRAMIENTO Y REMOCIÓN,9124128.0,2022-11-03
FEMENINO,POSTGRADO,META,TERRITORIAL,NO APLICA,CONTRALORÍA MUNICIPAL,ORGANISMO DE CONTROL Y VIGILANCIA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,5806322.0,2013-10-01
FEMENINO,PREGRADO,SANTANDER,TERRITORIAL,NO APLICA,ESTABLECIMIENTO PÚBLICO,RAMA EJECUTIVA,PROFESIONAL,LIBRE NOMBRAMIENTO Y REMOCIÓN,4403353.0,2008-04-01
